Date,EDET.DE
2025-10-14,10.014800071716309
2025-10-15,10.015399932861328
2025-10-16,10.01710033416748
2025-10-17,10.0177001953125
2025-10-20,10.018600463867188
2025-10-21,10.019200325012209
2025-10-22,10.01990032196045
2025-10-23,10.021699905395508
2025-10-24,10.022199630737305
2025-10-27,10.02299976348877
2025-10-28,10.023599624633787
2025-10-29,10.024200439453123
2025-10-30,10.026800155639648
2025-10-31,10.026700019836426
2025-11-03,10.028400421142578
2025-11-04,10.028200149536133
2025-11-05,10.029999732971191
2025-11-06,10.030599594116213
2025-11-07,10.031100273132324
2025-11-10,10.031999588012695
2025-11-11,10.032699584960938
2025-11-12,10.033300399780272
2025-11-13,10.035099983215332
2025-11-14,10.035599708557127
2025-11-17,10.036399841308594
2025-11-18,10.037099838256836
2025-11-19,10.037699699401855
2025-11-20,10.03950023651123
2025-11-21,10.039999961853027
2025-11-24,10.038800239562988
2025-11-25,10.041500091552734
2025-11-26,10.042099952697754
2025-11-27,10.044300079345703
2025-11-28,10.044899940490724
2025-12-01,10.045900344848633
2025-12-02,10.046500205993652
2025-12-03,10.04669952392578
2025-12-04,10.048500061035156
2025-12-05,10.049099922180176
2025-12-08,10.04990005493164
2025-12-09,10.05049991607666
2025-12-10,10.052200317382812
2025-12-11,10.053000450134276
2025-12-12,10.053500175476074
2025-12-15,10.054400444030762
2025-12-16,10.05500030517578
2025-12-17,10.0556001663208
2025-12-18,10.057499885559082
2025-12-19,10.05799961090088
2025-12-22,10.058799743652344
2025-12-23,10.059499740600586
2025-12-29,10.06149959564209
2025-12-30,10.062800407409668
2026-01-02,10.067399978637695
2026-01-05,10.067999839782717
2026-01-06,10.069700241088867
2026-01-07,10.07129955291748
2026-01-08,10.072099685668944
2026-01-09,10.07260036468506
2026-01-12,10.074899673461914
2026-01-13,10.074299812316896
2026-01-14,10.074899673461914
2026-01-15,10.076800346374512
2026-01-16,10.077199935913086
2026-01-19,10.078100204467772
2026-01-20,10.078700065612791
2026-01-21,10.079299926757812
2026-01-22,10.081199645996094
2026-01-23,10.081600189208984
2026-01-26,10.084500312805176
2026-01-27,10.083000183105469
2026-01-28,10.083600044250488
2026-01-29,10.085599899291992
2026-01-30,10.086099624633787
2026-02-02,10.086799621582031
2026-02-03,10.087400436401367
2026-02-04,10.08810043334961
2026-02-05,10.089599609375
2026-02-06,10.090200424194336
2026-02-09,10.090900421142578
2026-02-10,10.09160041809082
2026-02-11,10.09220027923584
2026-02-12,10.09409999847412
2026-02-13,10.094599723815918
2026-02-16,10.096599578857422
2026-02-17,10.095600128173828
2026-02-18,10.096199989318848
2026-02-19,10.098099708557127
2026-02-20,10.098600387573242
2026-02-23,10.09939956665039
2026-02-24,10.100000381469728
2026-02-25,10.100799560546877
2026-02-26,10.102700233459473
2026-02-27,10.10319995880127
2026-03-02,10.104000091552734
2026-03-03,10.104599952697754
2026-03-04,10.104999542236328
2026-03-05,10.10770034790039
2026-03-06,10.108099937438965
2026-03-09,10.109000205993652
2026-03-10,10.109700202941896
2026-03-11,10.110300064086914
2026-03-12,10.112299919128418
2026-03-13,10.112799644470217
2026-03-16,10.113699913024902
2026-03-17,10.113200187683104
2026-03-18,10.11489963531494
2026-03-19,10.116900444030762
2026-03-20,10.11740016937256
2026-03-23,10.118200302124023
2026-03-24,10.118900299072266
2026-03-25,10.119500160217283
2026-03-26,10.121500015258787
2026-03-27,10.121899604797363
2026-03-30,10.12279987335205
2026-03-31,10.123499870300291
2026-04-01,10.123299598693848
2026-04-02,10.128299713134766
2026-04-07,10.12689971923828
2026-04-08,10.128100395202637
2026-04-09,10.130999565124512
2026-04-10,10.131799697875977
